FONUM,Location,Open,Closed,CountA,CountB,Service,CountC,Region2,CountD,Country,SiteCode,Code,Person,DuplicateName,Occupancy,RegionCode,Fields,Month
866,STATE'S GRILL,10/1/1993,8/8/8888,190,19,Army,21,DAEGU,4,Korea,DA04,K0,(Henry's),Dave,STATE'S GRILL,20% Daegu,866 STATE'S GRILL|Floor|10/1/1993 8/8/8888|190|19 Army|21 DAEGU|4 Korea|DA04|K0|(Henry's)|Dave|STATE'S GRILL|20% Daegu|DAE,October 2022
867,"HILLTOP, CP WALKER",12/12/1994,8/8/8888,190,19,Army,21,DAEGU,4,Korea,DA01,K0,Reno Aug-Dec 2020,Dave,HILLTOP,20% Daegu,"867 HILLTOP, CP WALKER|Floor|12/12/1994 8/8/8888|190|19 Army|21 DAEGU|4 Korea|DA01|K0|Reno Aug-Dec 2020|Dave|HILLTOP|20% Daegu|DAE",October 2022
869,PERIMETER PUB,12/31/1984,8/8/8888,190,19,Army,21,DAEGU,4,Korea,DA03,K0,[See 891]-Clsd Reno,Dave,PERIMETER PUB,20% Daegu,869 PERIMETER PUB|Floor|12/31/1984 8/8/8888|190|19 Army|21 DAEGU|4 Korea|DA03|K0|[See 891]-Clsd Reno|Dave|PERIMETER PUB|20% Daegu|DAE,October 2022
870,WINDY CITY BOWL & GRILL,1/1/1999,8/8/8888,190,19,Army,21,DAEGU,4,Korea,DA06,K0,Dave,WINDY CITY,20% Daegu,DAE,870 WINDY CITY BOWL & GRILL|Floor|1/1/1999 8/8/8888|190|19 Army|21 DAEGU|4 Korea|DA06|K0|Dave|WINDY CITY|20% Daegu|DAE,October 2022
883,"COMM CLUB, CP ZAMA",2/1/1998,8/8/8888,340,24,Army,22,ZAMA,5,Japan,ZA02,J0,Dave,ZAMA C/C,20% Camp Zama,ZAM,"883 COMM CLUB, CP ZAMA|Floor|2/1/1998 8/8/8888|340|24 Army|22 ZAMA|5 Japan|ZA02|J0|Dave|ZAMA C/C|20% Camp Zama|ZAM",October 2022
885,SHA CLUB,2/1/1998,8/8/8888,340,24,Army,22,ZAMA,5,Japan,ZA07,J0,Dave,SHA CLUB,20% Camp Zama,ZAM,885 SHA CLUB|Floor|2/1/1998 8/8/8888|340|24 Army|22 ZAMA|5 Japan|ZA07|J0|Dave|SHA CLUB|20% Camp Zama|ZAM,October 2022
886,"BOWLING CTR, CP ZAMA",11/15/2017,8/8/8888,340,24,Army,22,ZAMA,5,Japan,ZA01,J0,Dave,ZAMA B/C,20% Camp Zama,ZAM,"886 BOWLING CTR, CP ZAMA|Floor|11/15/2017 8/8/8888|340|24 Army|22 ZAMA|5 Japan|ZA01|J0|Dave|ZAMA B/C|20% Camp Zama|ZAM",October 2022
891,EL GUERRERO,6/20/1996,8/8/8888,190,19,Army,21,DAEGU,4,Korea,DA02,K0,[see 869],Dave,EL GUERRERO,20% Daegu,891 EL GUERRERO|Floor|6/20/1996 8/8/8888|190|19 Army|21 DAEGU|4 Korea|DA02|K0|[see 869]|Dave|EL GUERRERO|20% Daegu|DAE,October 2022
967,HAVANA'S,6/1/1997,8/8/8888,300,30,Army,26,OKINAWA,5,Japan,OK07,J0,Dave,HAVANA'S,20% USA Okinawa,OKI,967 HAVANA'S|Floor|6/1/1997 8/8/8888|300|30 Army|26 OKINAWA|5 Japan|OK07|J0|Dave|HAVANA'S|20% USA Okinawa|OKI,October 2022
1038,THE GOLD MINE,12/1/2014,8/8/8888,20,2,Army,2,KAISERSLAUTERN,2,Europe,KA07,E0,Brunssum Area,Dave,GOLD MINE,20% Benelux,1038 THE GOLD MINE|Floor|12/1/2014 8/8/8888|20|2 Army|2 KAISERSLAUTERN|2 Europe|KA07|E0|Brunssum Area|Dave|GOLD MINE|20% Benelux|KAI,October 2022
1105,HASHMARKS,10/1/1993,8/8/8888,280,28,Marine Corps,26,OKINAWA,5,Japan,OK06,J0,Dave,HASHMARKS,80% USMC Okinawa,OKI,1105 HASHMARKS|Floor|10/1/1993 8/8/8888|280|28 Marine Corps|26 OKINAWA|5 Japan|OK06|J0|Dave|HASHMARKS|80% USMC Okinawa|OKI,October 2022
1107,COURTNEY B/C,5/21/2008,8/8/8888,280,28,Marine Corps,26,OKINAWA,5,Japan,OK03,J0,Dave,COURTNEY B/C,80% USMC Okinawa,OKI,1107 COURTNEY B/C|Floor|5/21/2008 8/8/8888|280|28 Marine Corps|26 OKINAWA|5 Japan|OK03|J0|Dave|COURTNEY B/C|80% USMC Okinawa|OKI,October 2022
1109,TAIYO GOLF COURSE,10/1/1993,8/8/8888,280,28,Marine Corps,26,OKINAWA,5,Japan,OK12,J0,Dave,TAIYO G/C,80% USMC Okinawa,OKI,1109 TAIYO GOLF COURSE|Floor|10/1/1993 8/8/8888|280|28 Marine Corps|26 OKINAWA|5 Japan|OK12|J0|Dave|TAIYO G/C|80% USMC Okinawa|OKI,October 2022
1111,BUTLER B/C,10/1/1993,8/8/8888,280,28,Marine Corps,26,OKINAWA,5,Japan,OK02,J0,Dave,BUTLER B/C,80% USMC Okinawa,OKI,1111 BUTLER B/C|Floor|10/1/1993 8/8/8888|280|28 Marine Corps|26 OKINAWA|5 Japan|OK02|J0|Dave|BUTLER B/C|80% USMC Okinawa|OKI,October 2022
1114,OCEAN BREEZE,7/2/1997,8/8/8888,280,28,Marine Corps,26,OKINAWA,5,Japan,OK08,J0,Dave,OCEAN BREEZE,80% USMC Okinawa,OKI,1114 OCEAN BREEZE|Floor|7/2/1997 8/8/8888|280|28 Marine Corps|26 OKINAWA|5 Japan|OK08|J0|Dave|OCEAN BREEZE|80% USMC Okinawa|OKI,October 2022
1122,SURFSIDE,10/1/1993,8/8/8888,280,28,Marine Corps,26,OKINAWA,5,Japan,OK11,J0,Dave,SURFSIDE,80% USMC Okinawa,OKI,1122 SURFSIDE|Floor|10/1/1993 8/8/8888|280|28 Marine Corps|26 OKINAWA|5 Japan|OK11|J0|Dave|SURFSIDE|80% USMC Okinawa|OKI,October 2022
