REGION,FONUM,FOSHORT,Loc,LNAME,Asset,Class,Desc,Type,Aquire,Effective,SerialNum,PLACE,Age,Years in Storage,Months,Month
Korea,24,PYONGTAEK,897,PFO STORAGE,336275,70,e-Cash ACM,9006,5/8/2014,4/21/2020,336275-7070891,Store,7,1.0,,Nov-21
Korea,24,PYONGTAEK,897,PFO STORAGE,336100,60,NOV PREM V+ 5sT,3158,9/18/2014,8/11/2017,336100-642956,Store,7,4.0,,Nov-21
Korea,24,PYONGTAEK,897,PFO STORAGE,336095,60,NOV PREM V+ 6sT,3160,9/18/2014,3/9/2018,336095-642951,Store,7,3.0,,Nov-21
Korea,24,PYONGTAEK,897,PFO STORAGE,336083,60,NOV PREM V+ 4ST MULTI-DENOM,4009,9/18/2014,5/14/2020,336083-642964,Store,7,1.0,,Nov-21
Korea,24,PYONGTAEK,897,PFO STORAGE,336574,60,WMS BLADE MULTI CHEST 5,1868,10/17/2015,5/14/2020,336574-5091348,Store,6,1.0,,Nov-21
Korea,24,PYONGTAEK,897,PFO STORAGE,337005,60,NOV PREM V+ 6ST MULTI-DENOM,4011,8/20/2015,9/17/2020,337005-668829,Store,6,1.0,,Nov-21
Korea,24,PYONGTAEK,897,PFO STORAGE,339250,60,KON CRES S/B/B JUNGLE BOUNTY,3544,4/15/2018,5/20/2021,339250-137155,Store,3,,7.0,Nov-21
Korea,24,PYONGTAEK,897,PFO STORAGE,339249,60,KON CRES S/B/B VOLCANO BOUNTY,3545,4/15/2018,5/20/2021,339249-137154,Store,3,,7.0,Nov-21
Korea,24,PYONGTAEK,897,PFO STORAGE,339248,60,KON CRES S/B/B JUNGLE BOUNTY,3544,4/15/2018,5/20/2021,339248-137153,Store,3,,7.0,Nov-21
Korea,24,PYONGTAEK,897,PFO STORAGE,337958,60,NOV VIP EDITION 5/$4.00,3126,10/18/2017,9/16/2020,337958-724447,Store,4,1.0,,Nov-21
Korea,24,PYONGTAEK,897,PFO STORAGE,337956,60,NOV VIP EDITION 5/$4.00,3126,10/18/2017,9/16/2020,337956-724446,Store,4,1.0,,Nov-21
Korea,24,PYONGTAEK,897,PFO STORAGE,337939,60,BAL PRO CURVE QHBW (MLP),3215,9/27/2017,8/2/2021,337939-B170502921,Store,4,,4.0,Nov-21
Korea,24,PYONGTAEK,897,PFO STORAGE,337690,60,WMS BLADE MULTI CHEST 4,1867,12/20/2016,3/27/2020,337690-5105390,Store,4,1.0,,Nov-21
Korea,24,PYONGTAEK,897,PFO STORAGE,336801,60,WMS BLADE GOLDFISH 3,1857,2/27/2015,8/12/2020,336801-5077247,Store,6,1.0,,Nov-21
Korea,24,PYONGTAEK,897,PFO STORAGE,337018,60,NOV NOVOSTAR 5ST MULTI-DENOM,4017,8/20/2015,5/14/2020,337018-668842,Store,6,1.0,,Nov-21
Korea,24,PYONGTAEK,897,PFO STORAGE,336750,70,ITC Smart Card Dispenser,1018,9/18/2015,3/8/2019,336750-C351530838,Store,6,2.0,,Nov-21
Korea,24,PYONGTAEK,897,PFO STORAGE,337003,60,NOV PREM V+ 6ST MULTI-DENOM,4011,8/20/2015,5/14/2020,337003-668827,Store,6,1.0,,Nov-21
Korea,24,PYONGTAEK,897,PFO STORAGE,336847,60,BAL PRO CURVE QHBG (MLP),3210,8/26/2015,10/3/2019,336847-B150531087,Store,6,2.0,,Nov-21
Korea,24,PYONGTAEK,897,PFO STORAGE,336077,60,NOV PREM V+ 6ST MULTI-DENOM,4011,9/18/2014,5/14/2020,336077-642958,Store,7,1.0,,Nov-21
Korea,24,PYONGTAEK,897,PFO STORAGE,336812,60,BAL PRO CURVE QHBG (MLP),3210,2/27/2015,2/12/2019,336812-B141219201,Store,6,2.0,,Nov-21
Korea,24,PYONGTAEK,897,PFO STORAGE,336802,60,WMS BLADE MULTI CHEST 5,1868,2/27/2015,10/12/2018,336802-5077252,Store,6,3.0,,Nov-21
Korea,24,PYONGTAEK,897,PFO STORAGE,336848,60,BAL PRO CURVE QHBG (MLP),3210,8/26/2015,10/3/2019,336848-B150531088,Store,6,2.0,,Nov-21
Korea,24,PYONGTAEK,897,PFO STORAGE,336784,70,CountR ACM,9007,9/11/2015,4/21/2020,336784-100100149,Store,6,1.0,,Nov-21
Korea,24,PYONGTAEK,897,PFO STORAGE,337688,60,WMS BLADE MULTI CHEST 3,1866,12/20/2016,3/27/2020,337688-5105388,Store,4,1.0,,Nov-21
Korea,24,PYONGTAEK,897,PFO STORAGE,333439,70,ITC Smart Card Dispenser,1018,10/16/2003,9/10/2020,333439-23751,Store,18,1.0,,Nov-21
Korea,24,PYONGTAEK,897,PFO STORAGE,334071,60,IGT iGAME CARNIVAL MYS 243 01,580,10/9/2004,5/2/2021,334071-1406587,Store,17,,7.0,Nov-21
Korea,24,PYONGTAEK,897,PFO STORAGE,334034,60,IGT iGAME AZTEC TEMPLE 243 01,579,10/5/2004,5/14/2020,334034-1406062,Store,17,1.0,,Nov-21
Korea,24,PYONGTAEK,897,PFO STORAGE,334033,60,IGT iGAME CARNIVAL MYS 243 01,580,10/5/2004,5/2/2021,334033-1406068,Store,17,,7.0,Nov-21
Korea,24,PYONGTAEK,897,PFO STORAGE,334029,60,IGT iGAME CARNIVAL MYS 243 01,580,10/5/2004,5/14/2020,334029-1406060,Store,17,1.0,,Nov-21
Korea,24,PYONGTAEK,897,PFO STORAGE,333972,60,IGT iGAME AZTEC TEMPLE 243 01,579,10/9/2004,5/2/2021,333972-1407799,Store,17,,7.0,Nov-21
Korea,24,PYONGTAEK,897,PFO STORAGE,335845,60,NOV PREM V+ 6sT,3160,8/15/2008,12/22/2018,335845-346837,Store,13,2.0,,Nov-21
Korea,24,PYONGTAEK,897,PFO STORAGE,333485,60,IGT GAME KING CL IFACE 210,228,8/12/2004,5/14/2020,333485-1349253,Store,17,1.0,,Nov-21
Korea,24,PYONGTAEK,897,PFO STORAGE,334159,60,IGT iGAME AZTEC TEMPLE 243 01,579,11/2/2004,5/2/2021,334159-1407114,Store,17,,7.0,Nov-21
Korea,24,PYONGTAEK,897,PFO STORAGE,333443,70,ITC Smart Card Dispenser,1018,10/16/2003,9/10/2020,333443-23728,Store,18,1.0,,Nov-21
Korea,24,PYONGTAEK,897,PFO STORAGE,334022,60,IGT iGAME AZTEC TEMPLE 243 01,579,10/5/2004,4/6/2019,334022-1406071,Store,17,2.0,,Nov-21
Korea,24,PYONGTAEK,897,PFO STORAGE,333433,70,ITC Smart Card Dispenser,1018,12/9/2003,12/22/2018,333433-23746,Store,17,2.0,,Nov-21
Korea,24,PYONGTAEK,897,PFO STORAGE,333221,70,DIEBOLD ACM,9001,8/11/2004,9/10/2020,333221-R10620538809,Store,17,1.0,,Nov-21
Korea,24,PYONGTAEK,897,PFO STORAGE,333024,70,DIEBOLD ACM,9001,3/15/2003,5/14/2020,333024-R10620538747,Store,18,1.0,,Nov-21
Korea,24,PYONGTAEK,897,PFO STORAGE,332945,70,DIEBOLD ACM,9001,12/14/2002,9/10/2020,332945-R10620538228,Store,18,1.0,,Nov-21
Korea,24,PYONGTAEK,897,PFO STORAGE,332944,70,DIEBOLD ACM,9001,12/2/2002,9/10/2020,332944-R10620538293,Store,18,1.0,,Nov-21
Korea,24,PYONGTAEK,897,PFO STORAGE,125376,740,IBM SUREPOS 4852,2038,9/26/2010,3/25/2020,125376-41C8987,Store,11,1.0,,Nov-21
Korea,24,PYONGTAEK,897,PFO STORAGE,336895,60,WMS BLADE GOLDFISH 3,1857,8/26/2015,4/28/2020,336895-5088530,Store,6,1.0,,Nov-21
Korea,24,PYONGTAEK,897,PFO STORAGE,333445,70,ITC Smart Card Dispenser,1018,10/16/2003,9/10/2020,333445-23713,Store,18,1.0,,Nov-21
Korea,24,PYONGTAEK,897,PFO STORAGE,335840,60,NOV PREM V+ 5ST MULTI-DENOM,4010,8/15/2008,2/26/2021,335840-346835,Store,13,,10.0,Nov-21
Korea,24,PYONGTAEK,897,PFO STORAGE,335844,60,NOV PREM V+ 4sT,3156,8/15/2008,12/22/2018,335844-346854,Store,13,2.0,,Nov-21
Korea,24,PYONGTAEK,897,PFO STORAGE,333577,60,IGT GAME KING CL IFACE 210,228,10/9/2004,5/14/2020,333577-1407822,Store,17,1.0,,Nov-21
Korea,24,PYONGTAEK,897,PFO STORAGE,335842,60,NOV PREM V+ 5sT,3158,8/15/2008,4/6/2019,335842-346850,Store,13,2.0,,Nov-21
Korea,24,PYONGTAEK,897,PFO STORAGE,335391,60,NOV PREM V+ 1sT,3152,8/15/2008,12/29/2017,335391-346877,Store,13,3.0,,Nov-21
Korea,24,PYONGTAEK,897,PFO STORAGE,335838,60,NOV PREM V+ 6sT,3160,8/15/2008,12/22/2018,335838-346843,Store,13,2.0,,Nov-21
Korea,24,PYONGTAEK,897,PFO STORAGE,335836,60,NOV PREM V+ 1ST MULTI-DENOM,4007,8/15/2008,2/26/2021,335836-346849,Store,13,,10.0,Nov-21
Korea,24,PYONGTAEK,897,PFO STORAGE,335833,60,NOV PREM V+ 5sT,3158,8/15/2008,12/22/2018,335833-346855,Store,13,2.0,,Nov-21
Korea,24,PYONGTAEK,897,PFO STORAGE,335824,60,NOV PREM V+ 6sT,3160,9/19/2014,4/6/2019,335824-642977,Store,7,2.0,,Nov-21
Korea,24,PYONGTAEK,897,PFO STORAGE,335780,60,NOV PREM V+ 6ST MULTI-DENOM,4011,8/27/2008,4/28/2020,335780-346812,Store,13,1.0,,Nov-21
