Region,FONUM,FOSHORT,Loc,LNAME,Asset,Class,Desc,Type,Acquire,Effective,SerialNum,Years_in_Storage,Month,Age,Age_int,Years_in_Storage_int
Korea,23,UIJEONGBU,843,UIJONGBU FO,336599,60,NOV PREM V+ 5sT,3158,4/28/2015,9/2/2023,336599-658764,8,October 2023,,,8
Korea,21,DAEGU,875,DAEGU F.O.,337669,60,NOV NOVOSTAR 6ST MULTI-DENOM,4018,11/23/2016,10/4/2023,337669-208670,6,October 2023,,,6
Korea,21,DAEGU,875,DAEGU F.O.,337943,60,BAL PRO CURVE QHWR (MLP),3214,9/27/2017,8/19/2023,337943-B170502925,6,October 2023,,,6
Korea,21,DAEGU,875,DAEGU F.O.,337942,60,BAL PRO CURVE QHTB7'S (MLP),3211,9/27/2017,8/19/2023,337942-B170502924,6,October 2023,,,6
Korea,21,DAEGU,875,DAEGU F.O.,337940,60,BAL PRO CURVE QHBG (MLP),3210,9/27/2017,8/19/2023,337940-B170502922,6,October 2023,,,6
Korea,21,DAEGU,875,DAEGU F.O.,337863,60,IGT AXXIS 23/23 HD8.1,1933,12/10/2017,8/22/2023,337863-2241158,5,October 2023,,,5
Korea,21,DAEGU,875,DAEGU F.O.,337065,60,NOV NOVOSTAR 6ST MULTI-DENOM,4018,10/7/2016,10/4/2023,337065-166886,7,October 2023,,,7
Korea,21,DAEGU,875,DAEGU F.O.,337860,60,IGT AXXIS 23/23 HD8,1930,12/10/2017,8/22/2023,337860-2236963,5,October 2023,,,5
Korea,21,DAEGU,875,DAEGU F.O.,337652,60,NOV NOVOSTAR 4ST MULTI-DENOM,4016,11/23/2016,9/21/2023,337652-143848,6,October 2023,,,6
Korea,21,DAEGU,875,DAEGU F.O.,337673,60,NOV NOVOSTAR 6ST MULTI-DENOM,4018,11/23/2016,10/4/2023,337673-253690,6,October 2023,,,6
Korea,21,DAEGU,875,DAEGU F.O.,337662,60,NOV NOVOSTAR 5ST MULTI-DENOM,4017,11/23/2016,5/26/2023,337662-165260,6,October 2023,,,6
Korea,21,DAEGU,875,DAEGU F.O.,338392,60,IGT CRYSTAL D - MULTI USW089,1986,1/23/2019,9/21/2023,338392-2438109,4,October 2023,,,4
Korea,21,DAEGU,875,DAEGU F.O.,339353,60,LNW KAS DUAL HUFF'N MORE PUFF,3926,8/24/2023,8/24/2023,339353-5263958,0,October 2023,,,0
Korea,21,DAEGU,875,DAEGU F.O.,337650,60,NOV NOVOSTAR 4ST MULTI-DENOM,4016,11/23/2016,5/26/2023,337650-141653,6,October 2023,,,6
Korea,21,DAEGU,875,DAEGU F.O.,337852,60,NOV NOVOSTAR 5ST MULTI-DENOM,4017,11/18/2016,10/4/2023,337852-149370,6,October 2023,,,6
Korea,21,DAEGU,875,DAEGU F.O.,338393,60,IGT CRYSTAL D - MULTI USW090,1985,1/23/2019,9/21/2023,338393-2438121,4,October 2023,,,4
Korea,21,DAEGU,875,DAEGU F.O.,339201,60,IGT CRYSTAL D - MULTI USW089,1986,3/15/2018,8/19/2023,339201-2403780,5,October 2023,,,5
Korea,21,DAEGU,875,DAEGU F.O.,339202,60,IGT CRYSTAL D - MULTI USW089,1986,3/15/2018,8/19/2023,339202-2403781,5,October 2023,,,5
Korea,21,DAEGU,875,DAEGU F.O.,339203,60,IGT CRYSTAL D - MULTI USW090,1985,3/15/2018,8/19/2023,339203-2403782,5,October 2023,,,5
Korea,21,DAEGU,875,DAEGU F.O.,339204,60,IGT CRYSTAL D - MULTI USW090,1985,3/15/2018,8/19/2023,339204-2403783,5,October 2023,,,5
Korea,21,DAEGU,875,DAEGU F.O.,339206,60,IGT CRYSTAL D - MULTI USW088,1988,3/15/2018,8/19/2023,339206-2403785,5,October 2023,,,5
Korea,21,DAEGU,875,DAEGU F.O.,339354,60,LNW KAS DUAL HUFF'N MORE PUFF,3926,8/24/2023,8/24/2023,339354-5263959,0,October 2023,,,0
Korea,21,DAEGU,875,DAEGU F.O.,339355,60,LNW KAS DUAL HUFF'N MORE PUFF,3926,8/24/2023,8/24/2023,339355-5263960,0,October 2023,,,0
Korea,21,DAEGU,875,DAEGU F.O.,339356,60,LNW KAS DUAL HUFF'N MORE PUFF,3926,8/24/2023,8/24/2023,339356-5263961,0,October 2023,,,0
Korea,21,DAEGU,875,DAEGU F.O.,339816,60,ARI MARSX P TCJL - EMPEROR MLP,6029,8/3/2023,8/3/2023,339816-DX149907V,0,October 2023,,,0
Korea,21,DAEGU,875,DAEGU F.O.,339817,60,ARI MARSX P TCJL - PHOENIX MLP,6030,8/3/2023,8/3/2023,339817-DX149912V,0,October 2023,,,0
Korea,21,DAEGU,875,DAEGU F.O.,339818,60,ARI MARSX P TCJL - PHOENIX MLP,6030,8/3/2023,8/3/2023,339818-DX149895V,0,October 2023,,,0
Korea,21,DAEGU,875,DAEGU F.O.,336606,60,NOV PREM V+ 6ST MULTI-DENOM,4011,9/18/2014,10/4/2023,336606-642983,9,October 2023,,,9
Korea,21,DAEGU,875,DAEGU F.O.,337056,60,NOV NOVOSTAR 6ST MULTI-DENOM,4018,11/23/2016,10/4/2023,337056-129797,6,October 2023,,,6
Korea,21,DAEGU,875,DAEGU F.O.,339205,60,IGT CRYSTAL D - MULTI USW088,1988,3/15/2018,8/19/2023,339205-2403784,5,October 2023,,,5
Korea,21,DAEGU,875,DAEGU F.O.,336503,60,WMS BLADE MULTI CHEST 2,1856,10/24/2015,8/2/2023,336503-5091333,8,October 2023,,,8
Korea,21,DAEGU,875,DAEGU F.O.,336611,60,NOV PREM V+ 6ST MULTI-DENOM,4011,9/18/2014,8/19/2023,336611-642988,9,October 2023,,,9
Korea,21,DAEGU,875,DAEGU F.O.,337022,60,NOV PREM V+ 4ST MULTI-DENOM,4009,8/20/2015,8/22/2023,337022-668846,8,October 2023,,,8
Korea,21,DAEGU,875,DAEGU F.O.,124648,740,IBM SUREPOS 4852,2038,9/28/2010,5/2/2023,124648-41D5543,13,October 2023,,,13
Korea,21,DAEGU,875,DAEGU F.O.,335818,60,NOV PREM V+ 6ST MULTI-DENOM,4011,9/19/2014,5/26/2023,335818-642971,9,October 2023,,,9
Korea,21,DAEGU,875,DAEGU F.O.,335825,60,NOV PREM V+ 6ST MULTI-DENOM,4011,9/19/2014,8/22/2023,335825-642978,9,October 2023,,,9
Korea,21,DAEGU,875,DAEGU F.O.,336270,60,NOV DOM IMPERA HD5/$4.00,3083,3/8/2014,11/17/2022,336270-618405,9,October 2023,,,9
