Region,LocationName,FO#,Loc,Svc,NOV,AIN,IGT,WMS,BAL,KON,ITE,Tot_EGMs,FRS,ACM,ITC,Total_PDF,Total_Computed,Month
Europe,EDO_CARD_LAB,2,3170,Army,,,,,,,,0.0,,,0.0,0.0,0.0,December 2023
Europe,LIVORNO C/C,4,330,Army,3.0,3.0,6.0,,4.0,,,16.0,1.0,2.0,2.0,21.0,21.0,December 2023
Europe,ARENA B/C,4,2895,Army,2.0,5.0,6.0,,8.0,4.0,,8.0,25.0,1.0,2.0,30.0,36.0,December 2023
Europe,DEL DIN C/C,4,3132,Army,,,5.0,,7.0,,,4.0,12.0,1.0,1.0,15.0,18.0,December 2023
Europe,EDELWEISS,10,2489,Army,2.0,3.0,5.0,,5.0,,,2.0,15.0,1.0,1.0,16.0,19.0,December 2023
Europe,ACTION LANES,31,437,Army,6.0,,2.0,,5.0,,,5.0,13.0,1.0,1.0,14.0,20.0,December 2023
Europe,STORCK BRK B/C,31,438,Army,4.0,,3.0,1.0,2.0,2.0,,12.0,1.0,1.0,1.0,14.0,15.0,December 2023
Europe,THE ANCHOR,39,2618,Navy,16.0,2.0,,,2.0,,,20.0,1.0,2.0,2.0,25.0,25.0,December 2023
Europe,SIG B/C,40,2595,Navy,4.0,2.0,5.0,2.0,4.0,,,2.0,17.0,1.0,1.0,20.0,21.0,December 2023
Europe,JOX SPORTS BAR,40,2597,Navy,2.0,2.0,4.0,,3.0,,,11.0,1.0,1.0,1.0,14.0,14.0,December 2023
Europe,CAPO OLDE TOWN,42,2588,Navy,8.0,,6.0,,4.0,2.0,,20.0,1.0,1.0,2.0,24.0,24.0,December 2023
Europe,NAPLES B/C,42,2591,Navy,4.0,1.0,4.0,,7.0,5.0,,21.0,1.0,1.0,2.0,25.0,25.0,December 2023
Europe,LA PLAZA,43,2600,Navy,10.0,4.0,6.0,,,4.0,,2.0,24.0,1.0,2.0,28.0,29.0,December 2023
Europe,PINZ,43,2601,Navy,2.0,,5.0,,5.0,1.0,,4.0,13.0,1.0,2.0,17.0,20.0,December 2023
Europe,ROTA FLEET CTR,43,2605,Navy,3.0,,,1.0,3.0,,,7.0,1.0,1.0,1.0,10.0,10.0,December 2023
Europe,NGIS ROTA,43,2890,Navy,7.0,,2.0,,,1.0,,10.0,1.0,1.0,1.0,13.0,13.0,December 2023
