Region,LocationName,FO#,Loc,Svc,NOV,AIN,IGT,WMS,BAL,KON,ITE,Tot_EGMs,FRS,ACM,ITC,Total_PDF,Total_Computed,Month
Europe,JOX SPORTS BAR,40,2597,Navy,10.0,2.0,2.0,2.0,3.0,,,19.0,1.0,2.0,2.0,24.0,24.0,
Europe,CAPO OLDE TOWN,42,2588,Navy,10.0,,6.0,2.0,2.0,2.0,,22.0,1.0,1.0,2.0,26.0,26.0,
Europe,NAPLES B/C,42,2591,Navy,8.0,3.0,3.0,2.0,4.0,5.0,,25.0,1.0,1.0,2.0,29.0,29.0,
Europe,LA PLAZA,43,2600,Navy,13.0,4.0,2.0,,6.0,4.0,,29.0,1.0,1.0,2.0,33.0,33.0,
Europe,ROTA LANES,43,2601,Navy,3.0,,3.0,1.0,5.0,1.0,,13.0,1.0,1.0,1.0,16.0,16.0,
Europe,ROTA FLEET CTR,43,2605,Navy,2.0,,2.0,1.0,,,,5.0,1.0,1.0,1.0,8.0,8.0,
Europe,BOQ,43,2890,Navy,4.0,,3.0,,2.0,1.0,,10.0,1.0,1.0,1.0,13.0,13.0,
Europe,PATCH C/C,45,256,Army,25.0,3.0,7.0,4.0,11.0,5.0,,55.0,1.0,2.0,2.0,60.0,60.0,
Europe,KELLY C/C,45,280,Army,10.0,,4.0,1.0,3.0,1.0,,19.0,1.0,1.0,1.0,22.0,22.0,
Europe,GALAXY B/C,45,298,Army,6.0,2.0,3.0,1.0,10.0,2.0,,24.0,1.0,1.0,1.0,27.0,27.0,
Europe,GRAF E/C,46,413,Army,17.0,4.0,7.0,4.0,6.0,,,38.0,1.0,2.0,2.0,43.0,43.0,
Europe,HOHENFELS B/C,46,415,Army,4.0,4.0,4.0,4.0,2.0,,,18.0,1.0,2.0,2.0,23.0,23.0,
Europe,VILSECK B/C,46,417,Army,7.0,,,2.0,4.0,,,13.0,1.0,1.0,1.0,16.0,16.0,
Europe,LANGENBRUCK,46,1858,Army,11.0,4.0,4.0,,15.0,2.0,,36.0,1.0,2.0,2.0,41.0,41.0,
Europe,ALGIERS REC,46,3145,Army,6.0,,2.0,2.0,4.0,,,14.0,1.0,1.0,2.0,18.0,18.0,
Europe,THE VAULT,47,1669,Army,15.0,4.0,7.0,,15.0,2.0,,43.0,1.0,3.0,3.0,50.0,50.0,
Europe,KASTEL KLUB,47,1881,Army,9.0,,5.0,,2.0,1.0,,17.0,1.0,1.0,1.0,20.0,20.0,
Europe,WIESBADEN E/C,47,2976,Army,11.0,4.0,4.0,1.0,4.0,2.0,,26.0,1.0,,1.0,27.0,28.0,
Europe,ACE'S GAME RM,47,3108,Army,6.0,1.0,2.0,,,1.0,,10.0,1.0,1.0,1.0,13.0,13.0,
Japan,YOKOSUKA B/C,18,3146,Navy,8.0,4.0,3.0,,6.0,1.0,,22.0,1.0,1.0,2.0,26.0,26.0,
Japan,CLUB ALLIANCE,18,3147,Navy,11.0,5.0,2.0,1.0,8.0,2.0,,29.0,1.0,1.0,2.0,33.0,33.0,
Japan,CPO CLUB,18,3148,Navy,7.0,,3.0,,1.0,1.0,,12.0,1.0,1.0,2.0,16.0,16.0,
Japan,TAKEMIYA CLUB,18,3149,Navy,3.0,,,1.0,1.0,1.0,,6.0,1.0,1.0,2.0,10.0,10.0,
