Service,Category,Region,Base,Location,Month,Year,Amount
Army,Revenue,Europe,Livorno,Livorno Community Club,May,2020,0.0
Army,Revenue,Europe,Livorno,Livorno Community Club,June,2020,0.0
Army,Revenue,Europe,Livorno,Livorno Community Club,July,2020,6845.0
Army,Revenue,Europe,Livorno,Livorno Community Club,August,2020,4703.0
Army,Revenue,Europe,Livorno,Livorno Community Club,September,2020,6230.0
Army,Revenue,Europe,Schinnen,Schinnen Bowl,October,2019,19081.0
Army,Revenue,Europe,Schinnen,Schinnen Bowl,November,2019,14560.0
Army,Revenue,Europe,Schinnen,Schinnen Bowl,December,2019,107.0
Army,Revenue,Europe,Schinnen,Schinnen Bowl,January,2020,772.0
Army,Revenue,Europe,Schinnen,Schinnen Bowl,February,2020,6443.0
Army,Revenue,Europe,Schinnen,Schinnen Bowl,March,2020,5378.0
Army,Revenue,Europe,Schinnen,Schinnen Bowl,April,2020,-4504.0
Army,Revenue,Europe,Schinnen,Schinnen Bowl,May,2020,0.0
Army,Revenue,Europe,Schinnen,Schinnen Bowl,June,2020,0.0
Army,Revenue,Europe,Schinnen,Schinnen Bowl,July,2020,0.0
Army,Revenue,Europe,Schinnen,Schinnen Bowl,August,2020,0.0
Army,Revenue,Europe,Schinnen,Schinnen Bowl,September,2020,4694.0
Army,Revenue,Europe,Stuttgart,Galaxy Bowl,October,2019,15924.0
Army,Revenue,Europe,Stuttgart,Galaxy Bowl,November,2019,31984.0
Army,Revenue,Europe,Stuttgart,Galaxy Bowl,December,2019,23984.0
Army,Revenue,Europe,Stuttgart,Galaxy Bowl,January,2020,35443.0
Army,Revenue,Europe,Stuttgart,Galaxy Bowl,February,2020,49882.0
Army,Revenue,Europe,Stuttgart,Galaxy Bowl,March,2020,7438.0
Army,Revenue,Europe,Stuttgart,Galaxy Bowl,April,2020,0.0
Army,Revenue,Europe,Stuttgart,Galaxy Bowl,May,2020,0.0
Army,Revenue,Europe,Stuttgart,Galaxy Bowl,June,2020,12784.0
Army,Revenue,Europe,Stuttgart,Galaxy Bowl,July,2020,33715.0
Army,Revenue,Europe,Stuttgart,Galaxy Bowl,August,2020,51685.0
Army,Revenue,Europe,Stuttgart,Galaxy Bowl,September,2020,52456.0
Army,Revenue,Europe,Stuttgart,Kelley Community Club,October,2019,50164.0
Army,Revenue,Europe,Stuttgart,Kelley Community Club,November,2019,34803.0
Army,Revenue,Europe,Stuttgart,Kelley Community Club,December,2019,56226.0
Army,Revenue,Europe,Stuttgart,Kelley Community Club,January,2020,38890.0
Army,Revenue,Europe,Stuttgart,Kelley Community Club,February,2020,33173.0
Army,Revenue,Europe,Stuttgart,Kelley Community Club,March,2020,22648.0
Army,Revenue,Europe,Stuttgart,Kelley Community Club,April,2020,0.0
Army,Revenue,Europe,Stuttgart,Kelley Community Club,May,2020,0.0
Army,Revenue,Europe,Stuttgart,Kelley Community Club,June,2020,4729.0
Army,Revenue,Europe,Stuttgart,Kelley Community Club,July,2020,17373.0
Army,Revenue,Europe,Stuttgart,Kelley Community Club,August,2020,14967.0
Army,Revenue,Europe,Stuttgart,Kelley Community Club,September,2020,33545.0
Army,Revenue,Europe,Stuttgart,Patch Community Club,October,2019,86307.0
Army,Revenue,Europe,Stuttgart,Patch Community Club,November,2019,84311.0
Army,Revenue,Europe,Stuttgart,Patch Community Club,December,2019,94761.0
Army,Revenue,Europe,Stuttgart,Patch Community Club,January,2020,46051.0
Army,Revenue,Europe,Stuttgart,Patch Community Club,February,2020,104262.0
Army,Revenue,Europe,Stuttgart,Patch Community Club,March,2020,71204.0
Army,Revenue,Europe,Stuttgart,Patch Community Club,April,2020,4504.0
Army,Revenue,Europe,Stuttgart,Patch Community Club,May,2020,0.0
Army,Revenue,Europe,Stuttgart,Patch Community Club,June,2020,43132.0
Army,Revenue,Europe,Stuttgart,Patch Community Club,July,2020,75450.0
Army,Revenue,Europe,Stuttgart,Patch Community Club,August,2020,80884.0
Army,Revenue,Europe,Stuttgart,Patch Community Club,September,2020,103890.0
Army,Revenue,Europe,Vicenza,Arena Bowl,October,2019,54121.0
Army,Revenue,Europe,Vicenza,Arena Bowl,November,2019,6140.0
Army,Revenue,Europe,Vicenza,Arena Bowl,December,2019,99756.0
Army,Revenue,Europe,Vicenza,Arena Bowl,January,2020,56126.0
Army,Revenue,Europe,Vicenza,Arena Bowl,February,2020,71143.0
Army,Revenue,Europe,Vicenza,Arena Bowl,March,2020,44408.0
Army,Revenue,Europe,Vicenza,Arena Bowl,April,2020,0.0
Army,Revenue,Europe,Vicenza,Arena Bowl,May,2020,0.0
Army,Revenue,Europe,Vicenza,Arena Bowl,June,2020,0.0
Army,Revenue,Europe,Vicenza,Arena Bowl,July,2020,0.0
Army,Revenue,Europe,Vicenza,Arena Bowl,August,2020,39849.0
Army,Revenue,Europe,Vicenza,Arena Bowl,September,2020,44601.0
Army,Revenue,Europe,Vicenza,Del Din C/C,October,2019,11786.0
Army,Revenue,Europe,Vicenza,Del Din C/C,November,2019,625.0
Army,Revenue,Europe,Vicenza,Del Din C/C,December,2019,21336.0
Army,Revenue,Europe,Vicenza,Del Din C/C,January,2020,11245.0
Army,Revenue,Europe,Vicenza,Del Din C/C,February,2020,14685.0
Army,Revenue,Europe,Vicenza,Del Din C/C,March,2020,15079.0
Army,Revenue,Europe,Vicenza,Del Din C/C,April,2020,0.0
Army,Revenue,Europe,Vicenza,Del Din C/C,May,2020,0.0
Army,Revenue,Europe,Vicenza,Del Din C/C,June,2020,0.0
Army,Revenue,Europe,Vicenza,Del Din C/C,July,2020,0.0
Army,Revenue,Europe,Vicenza,Del Din C/C,August,2020,1379.0
Army,Revenue,Europe,Vicenza,Del Din C/C,September,2020,19819.0
Army,Revenue,Europe,Wiesbaden,Vault Club Casino,October,2019,189052.0
Army,Revenue,Europe,Wiesbaden,Vault Club Casino,November,2019,103821.0
Army,Revenue,Europe,Wiesbaden,Vault Club Casino,December,2019,189402.0
Army,Revenue,Europe,Wiesbaden,Vault Club Casino,January,2020,70581.0
Army,Revenue,Europe,Wiesbaden,Vault Club Casino,February,2020,123794.0
Army,Revenue,Europe,Wiesbaden,Vault Club Casino,March,2020,131448.0
Army,Revenue,Europe,Wiesbaden,Vault Club Casino,April,2020,0.0
Army,Revenue,Europe,Wiesbaden,Vault Club Casino,May,2020,0.0
Army,Revenue,Europe,Wiesbaden,Vault Club Casino,June,2020,41007.0
Army,Revenue,Europe,Wiesbaden,Vault Club Casino,July,2020,61171.0
Army,Revenue,Europe,Wiesbaden,Vault Club Casino,August,2020,71910.0
Army,Revenue,Europe,Wiesbaden,Vault Club Casino,September,2020,105439.0
Army,Revenue,Europe,Wiesbaden,Wiesbaden Ent Center,October,2019,83840.0
Army,Revenue,Europe,Wiesbaden,Wiesbaden Ent Center,November,2019,47376.0
Army,Revenue,Europe,Wiesbaden,Wiesbaden Ent Center,December,2019,53534.0
Army,Revenue,Europe,Wiesbaden,Wiesbaden Ent Center,January,2020,31509.0
Army,Revenue,Europe,Wiesbaden,Wiesbaden Ent Center,February,2020,69285.0
Army,Revenue,Europe,Wiesbaden,Wiesbaden Ent Center,March,2020,50816.0
Army,Revenue,Europe,Wiesbaden,Wiesbaden Ent Center,April,2020,0.0
Army,Revenue,Europe,Wiesbaden,Wiesbaden Ent Center,May,2020,0.0
Army,Revenue,Europe,Wiesbaden,Wiesbaden Ent Center,June,2020,0.0
Army,Revenue,Europe,Wiesbaden,Wiesbaden Ent Center,July,2020,67501.0
Army,Revenue,Europe,Wiesbaden,Wiesbaden Ent Center,August,2020,37552.0
Army,Revenue,Europe,Wiesbaden,Wiesbaden Ent Center,September,2020,98784.0
Army,Revenue,Europe,Wiesbaden,Kastel Club,October,2019,23582.0
Army,Revenue,Europe,Wiesbaden,Kastel Club,November,2019,13415.0
Army,Revenue,Europe,Wiesbaden,Kastel Club,December,2019,27983.0
Army,Revenue,Europe,Wiesbaden,Kastel Club,January,2020,28890.0
Army,Revenue,Europe,Wiesbaden,Kastel Club,February,2020,22186.0
Army,Revenue,Europe,Wiesbaden,Kastel Club,March,2020,13999.0
Army,Revenue,Europe,Wiesbaden,Kastel Club,April,2020,0.0
Army,Revenue,Europe,Wiesbaden,Kastel Club,May,2020,0.0
Army,Revenue,Europe,Wiesbaden,Kastel Club,June,2020,0.0
Army,Revenue,Europe,Wiesbaden,Kastel Club,July,2020,4121.0
Army,Revenue,Europe,Wiesbaden,Kastel Club,August,2020,5075.0
Army,Revenue,Europe,Wiesbaden,Kastel Club,September,2020,7049.0
