Service,Category,Region,Base,Location,Month,Year,Amount,Base_lat,Base_lon
Army,Revenue,Europe,Stuttgart,Galaxy Bowl,September,2020,52456,48.775418,9.181759
Army,Revenue,Europe,Stuttgart,Kelley Community Club,October,2019,50164,48.775418,9.181759
Army,Revenue,Europe,Stuttgart,Kelley Community Club,November,2019,34803,48.775418,9.181759
Army,Revenue,Europe,Stuttgart,Kelley Community Club,December,2019,56226,48.775418,9.181759
Army,Revenue,Europe,Stuttgart,Kelley Community Club,January,2020,38890,48.775418,9.181759
Army,Revenue,Europe,Stuttgart,Kelley Community Club,February,2020,33173,48.775418,9.181759
Army,Revenue,Europe,Stuttgart,Kelley Community Club,March,2020,22648,48.775418,9.181759
Army,Revenue,Europe,Stuttgart,Kelley Community Club,April,2020,0,48.775418,9.181759
Army,Revenue,Europe,Stuttgart,Kelley Community Club,May,2020,0,48.775418,9.181759
Army,Revenue,Europe,Stuttgart,Kelley Community Club,June,2020,4729,48.775418,9.181759
Army,Revenue,Europe,Stuttgart,Kelley Community Club,July,2020,17373,48.775418,9.181759
Army,Revenue,Europe,Stuttgart,Kelley Community Club,August,2020,14967,48.775418,9.181759
Army,Revenue,Europe,Stuttgart,Kelley Community Club,September,2020,33545,48.775418,9.181759
Army,Revenue,Europe,Stuttgart,Patch Community Club,October,2019,86307,48.775418,9.181759
Army,Revenue,Europe,Stuttgart,Patch Community Club,November,2019,84311,48.775418,9.181759
Army,Revenue,Europe,Stuttgart,Patch Community Club,December,2019,94761,48.775418,9.181759
Army,Revenue,Europe,Stuttgart,Patch Community Club,January,2020,46051,48.775418,9.181759
Army,Revenue,Europe,Stuttgart,Patch Community Club,February,2020,104262,48.775418,9.181759
Army,Revenue,Europe,Stuttgart,Patch Community Club,March,2020,71204,48.775418,9.181759
Army,Revenue,Europe,Stuttgart,Patch Community Club,April,2020,4504,48.775418,9.181759
Army,Revenue,Europe,Stuttgart,Patch Community Club,May,2020,0,48.775418,9.181759
Army,Revenue,Europe,Stuttgart,Patch Community Club,June,2020,43132,48.775418,9.181759
Army,Revenue,Europe,Stuttgart,Patch Community Club,July,2020,75450,48.775418,9.181759
Army,Revenue,Europe,Stuttgart,Patch Community Club,August,2020,80884,48.775418,9.181759
