Date,AssetType,Balance,Category
2020-07-31,Accounts Payable,959232.31,LIABILITIES
2020-07-31,Distributions Payable,968660.67,LIABILITIES
2020-07-31,Accrued Liabilities,1285060.61,LIABILITIES
2020-07-31,Accrued Salaries,357243.70,LIABILITIES
2020-07-31,Accrued Leave Payable,541996.65,LIABILITIES
2020-07-31,Total Liabilities,4112193.94,LIABILITIES
2020-07-31,EQUITY,41249962.06,EQUITY
2020-07-31,TOTAL LIABILITIES & EQUITY,45362156.00,EQUITY
2021-07-31,Cash,36421281.78,ASSETS
2021-07-31,Accounts Receivable,103859.44,ASSETS
2021-07-31,Prepaid Expenses,275701.06,ASSETS
2021-07-31,Fixed Assets,44217491.99,ASSETS
2021-07-31,Less Accum Depreciation,-33167930.36,ASSETS
2021-07-31,TOTAL ASSETS,47850403.91,ASSETS
2021-07-31,Accounts Payable,397890.83,LIABILITIES
2021-07-31,Distributions Payable,934246.36,LIABILITIES
2021-07-31,Accrued Liabilities,1346004.09,LIABILITIES
2021-07-31,Accrued Salaries,359721.13,LIABILITIES
2021-07-31,Accrued Leave Payable,587390.49,LIABILITIES
2021-07-31,Total Liabilities,3625252.90,LIABILITIES
2021-07-31,EQUITY,44225151.01,EQUITY
2021-07-31,TOTAL LIABILITIES & EQUITY,47850403.91,EQUITY
2022-07-31,Cash--Operating,19740976.03,ASSETS
2022-07-31,Cash--Restricted,21595786.81,ASSETS
2022-07-31,Accounts Receivable,206502.88,ASSETS
2022-07-31,Prepaid Expenses,260540.04,ASSETS
2022-07-31,Fixed Assets,41373783.49,ASSETS
2022-07-31,Less Accum Depreciation,-33732569.78,ASSETS
2022-07-31,TOTAL ASSETS,49445019.47,ASSETS
2022-07-31,Accounts Payable,639135.29,LIABILITIES
2022-07-31,Distributions Payable,938056.89,LIABILITIES
2022-07-31,Accrued Liabilities,1667227.13,LIABILITIES
2022-07-31,Accrued Salaries,393477.28,LIABILITIES
2022-07-31,Accrued Leave Payable,574149.84,LIABILITIES
2022-07-31,Total Liabilities,4212046.43,LIABILITIES
2022-07-31,EQUITY,45232973.04,EQUITY
2022-07-31,TOTAL LIABILITIES & EQUITY,49445019.47,EQUITY
2023-07-31,Cash--Operating,25048172.14,ASSETS
2023-07-31,Cash--Restricted,11289835.25,ASSETS
2023-07-31,Accounts Receivable,503720.52,ASSETS
2023-07-31,Prepaid Expenses,251041.36,ASSETS
2023-07-31,Fixed Assets,46561930.79,ASSETS
2023-07-31,Less Accum Depreciation,-31459977.47,ASSETS
2023-07-31,TOTAL ASSETS,52194722.59,ASSETS
2023-07-31,Accounts Payable,3090927.66,LIABILITIES
2023-07-31,Distributions Payable,1270608.41,LIABILITIES
2023-07-31,Accrued Liabilities,1582242.09,LIABILITIES
2023-07-31,Accrued Salaries,427780.27,LIABILITIES
2023-07-31,Accrued Leave Payable,590191.12,LIABILITIES
2023-07-31,Total Liabilities,6961749.55,LIABILITIES
2023-07-31,EQUITY,45232973.04,EQUITY
2023-07-31,TOTAL LIABILITIES & EQUITY,52194722.59,EQUITY
2020-08-31,Cash,32094379.96,ASSETS
2020-08-31,Accounts Receivable,104276.85,ASSETS
2020-08-31,Prepaid Expenses,290509.21,ASSETS
2020-08-31,Fixed Assets,45241099.56,ASSETS
2020-08-31,Less Accum Depreciation,-30950645.41,ASSETS
2020-08-31,TOTAL ASSETS,46779620.17,ASSETS
2020-08-31,Accounts Payable,1119997.37,LIABILITIES
2020-08-31,Distributions Payable,2397742.23,LIABILITIES
2020-08-31,Accrued Liabilities,1448386.97,LIABILITIES
2020-08-31,Accrued Salaries,390597.88,LIABILITIES
2020-08-31,Accrued Leave Payable,532293.32,LIABILITIES
2020-08-31,Total Liabilities,5889017.77,LIABILITIES
2020-08-31,EQUITY,40890602.40,EQUITY
2020-08-31,TOTAL LIABILITIES & EQUITY,46779620.17,EQUITY
2021-08-31,Cash,37745034.87,ASSETS
2021-08-31,Accounts Receivable,91634.90,ASSETS
2021-08-31,Prepaid Expenses,305062.84,ASSETS
2021-08-31,Fixed Assets,44217491.99,ASSETS
2021-08-31,Less Accum Depreciation,-33521075.21,ASSETS
2021-08-31,TOTAL ASSETS,48838149.39,ASSETS
2021-08-31,Accounts Payable,475484.94,LIABILITIES
2021-08-31,Distributions Payable,1456169.63,LIABILITIES
2021-08-31,Accrued Liabilities,1337572.25,LIABILITIES
2021-08-31,Accrued Salaries,419125.10,LIABILITIES
2021-08-31,Accrued Leave Payable,571501.61,LIABILITIES
2021-08-31,Total Liabilities,4259853.53,LIABILITIES
