Region,FONUM,FOSHORT,Loc,LNAME,Asset,Class,Desc,Type,Acquire,Effective,SerialNum,Age,Years_in_Storage,Month,Age_int,Years_in_Storage_float,Years_in_Storage_int,BaseName_match,match_score,match_country,Latitude,Longitude
Korea,24,PYONGTAEK,897,PFO STORAGE,337005,60,NOV PREM V+ 6ST MULTI-DENOM,4011,8/20/2015,9/17/2020,337005-668829,5,0.0,October 2020,5,0.0,0,Pyeongtaek,0.9473684210526315,South Korea,36.992108,127.11294
Korea,24,PYONGTAEK,897,PFO STORAGE,337018,60,NOV NOVOSTAR 5ST MULTI-DENOM,4017,8/20/2015,5/14/2020,337018-668842,5,0.0,October 2020,5,0.0,0,Pyeongtaek,0.9473684210526315,South Korea,36.992108,127.11294
Korea,24,PYONGTAEK,897,PFO STORAGE,337688,60,WMS BLADE MULTI CHEST 3,1866,12/20/2016,3/27/2020,337688-5105388,3,0.0,October 2020,3,0.0,0,Pyeongtaek,0.9473684210526315,South Korea,36.992108,127.11294
Korea,24,PYONGTAEK,897,PFO STORAGE,337690,60,WMS BLADE MULTI CHEST 4,1867,12/20/2016,3/27/2020,337690-5105390,3,0.0,October 2020,3,0.0,0,Pyeongtaek,0.9473684210526315,South Korea,36.992108,127.11294
Korea,24,PYONGTAEK,897,PFO STORAGE,337932,60,KON CONC SELEXION MULTI 5,3504,4/6/2017,10/23/2020,337932-128389,3,0.0,October 2020,3,0.0,0,Pyeongtaek,0.9473684210526315,South Korea,36.992108,127.11294
Korea,24,PYONGTAEK,897,PFO STORAGE,337933,60,KON CONC SELEXION MULTI 4,3503,4/6/2017,10/23/2020,337933-128390,3,0.0,October 2020,3,0.0,0,Pyeongtaek,0.9473684210526315,South Korea,36.992108,127.11294
Korea,24,PYONGTAEK,897,PFO STORAGE,337934,60,KON CONC SELEXION MULT 6,3505,4/6/2017,10/23/2020,337934-128391,3,0.0,October 2020,3,0.0,0,Pyeongtaek,0.9473684210526315,South Korea,36.992108,127.11294
Korea,24,PYONGTAEK,897,PFO STORAGE,337956,60,NOV VIP EDITION 5/$4.00,3126,10/18/2017,9/16/2020,337956-724446,3,0.0,October 2020,3,0.0,0,Pyeongtaek,0.9473684210526315,South Korea,36.992108,127.11294
Korea,24,PYONGTAEK,897,PFO STORAGE,337958,60,NOV VIP EDITION 5/$4.00,3126,10/18/2017,9/16/2020,337958-724447,3,0.0,October 2020,3,0.0,0,Pyeongtaek,0.9473684210526315,South Korea,36.992108,127.11294
Korea,24,PYONGTAEK,897,PFO STORAGE,339244,60,KON CONC SELEXION MULTI 7,3506,4/15/2018,10/23/2020,339244-137158,2,0.0,October 2020,2,0.0,0,Pyeongtaek,0.9473684210526315,South Korea,36.992108,127.11294
Japan,22,ZAMA,958,ZFO STORAGE,334798,60,NOV PREM V+ 1ST MULTI-DENOM,4007,8/15/2008,6/18/2020,334798-346868,12,0.0,October 2020,12,0.0,0,Zama,1.0,Japan,35.488587,139.40767
Japan,22,ZAMA,958,ZFO STORAGE,335393,60,NOV PREM V+ 6ST MULTI-DENOM,4011,8/15/2008,2/20/2020,335393-346857,12,0.0,October 2020,12,0.0,0,Zama,1.0,Japan,35.488587,139.40767
Japan,22,ZAMA,958,ZFO STORAGE,336428,60,NOV PREM V+ 5ST MULTI-DENOM,4010,9/24/2014,10/17/2020,336428-642989,6,0.0,October 2020,6,0.0,0,Zama,1.0,Japan,35.488587,139.40767
Japan,22,ZAMA,958,ZFO STORAGE,336674,60,NOV PREM V+ 5ST MULTI-DENOM,4010,8/15/2008,6/18/2020,336674-346876,12,0.0,October 2020,12,0.0,0,Zama,1.0,Japan,35.488587,139.40767
Japan,22,ZAMA,958,ZFO STORAGE,336711,60,WMS BLADE MULTI CHEST 6,1869,3/21/2015,8/2/2020,336711-5077943,5,0.0,October 2020,5,0.0,0,Zama,1.0,Japan,35.488587,139.40767
Japan,22,ZAMA,958,ZFO STORAGE,336715,60,WMS BLADE MULTI CHEST 6,1869,3/21/2015,8/2/2020,336715-5077945,5,0.0,October 2020,5,0.0,0,Zama,1.0,Japan,35.488587,139.40767
Japan,22,ZAMA,958,ZFO STORAGE,336771,66,BAL PRO32 CASH'M IF YOU CAN,1769,9/11/2015,12/4/2019,336771-B130277972,5,0.0,October 2020,5,0.0,0,Zama,1.0,Japan,35.488587,139.40767
Japan,22,ZAMA,958,ZFO STORAGE,336772,66,BAL PRO32 PRECIOUS JADE,1770,9/11/2015,12/4/2019,336772-B130277974,5,0.0,October 2020,5,0.0,0,Zama,1.0,Japan,35.488587,139.40767
Japan,22,ZAMA,958,ZFO STORAGE,336780,66,BAL PRO32 AZTEC DAWN,1771,9/11/2015,12/4/2019,336780-B130277971,5,0.0,October 2020,5,0.0,0,Zama,1.0,Japan,35.488587,139.40767
